Year,Winter,Spring,Sumer,Fall
1880,,19,-19,-16
1881,-13,-1,-11,-17
1882,2,-11,-9,-14
1883,-32,-22,-10,-16
1884,-15,-33,-32,-25
1885,-41,-36,-35,-20
1886,-30,-32,-28,-23
1887,-46,-33,-21,-26
1888,-40,-32,-13,-2
1889,-5,2,-11,-23
1890,-41,-42,-30,-32
1891,-41,-19,-21,-24
1892,-12,-31,-21,-29
1893,-48,-30,-19,-16
1894,-40,-30,-33,-21
1895,-35,-24,-18,-9
1896,-16,-27,-9,-4
1897,-17,-5,-7,-10
1898,-22,-42,-22,-29
1899,-26,-25,-14,3
1900,-24,-5,-7,0
1901,-15,-5,-9,-19
1902,-16,-28,-28,-27
1903,-25,-34,-38,-40
1904,-54,-48,-46,-32
1905,-41,-31,-24,-14
1906,-27,-12,-21,-27
1907,-36,-36,-37,-35
1908,-43,-47,-38,-41
1909,-55,-55,-41,-36
1910,-47,-39,-33,-43
1911,-63,-56,-43,-28
1912,-22,-26,-39,-47
1913,-41,-41,-36,-27
1914,-5,-23,-19,-12
1915,-10,-1,-10,-15
1916,-21,-26,-33,-32
1917,-59,-45,-28,-26
1918,-48,-31,-23,-10
1919,-21,-20,-21,-20
1920,-23,-18,-29,-25
1921,-22,-32,-21,-12
1922,-29,-21,-28,-24
1923,-25,-33,-26,-11
1924,-16,-20,-28,-28
1925,-35,-25,-25,-8
1926,14,-8,-17,-8
1927,-25,-31,-19,-2
1928,-16,-28,-27,-15
1929,-41,-38,-34,-17
1930,-35,-19,-14,-1
1931,-12,-16,-1,-5
1932,-4,-16,-25,-16
1933,-27,-25,-24,-27
1934,-25,-22,-11,-8
1935,-11,-24,-19,-17
1936,-29,-20,-11,-3
1937,-1,-13,-2,12
1938,-3,2,-9,6
1939,-15,-13,-5,2
1940,11,11,6,11
1941,19,9,12,14
1942,17,13,4,7
1943,12,9,7,23
1944,34,30,22,24
1945,10,16,13,18
1946,5,3,-10,-3
1947,-13,2,-4,-2
1948,-7,-9,-9,-9
1949,-9,-6,-16,-7
1950,-23,-14,-12,-21
1951,-32,-10,-1,5
1952,15,-4,3,-4
1953,8,13,6,2
1954,-11,-16,-14,1
1955,-8,-26,-2,-15
1956,-24,-25,-17,-19
1957,-9,0,9,5
1958,25,6,-3,0
1959,5,14,2,-8
1960,3,-20,-1,0
1961,15,13,2,2
1962,2,3,0,0
1963,5,-10,11,17
1964,-6,-27,-13,-26
1965,-19,-15,-7,-7
1966,-8,-6,0,-6
1967,-11,4,-2,-1
1968,-13,2,-9,-4
1969,-13,13,2,10
1970,20,4,-5,6
1971,-13,-12,-11,-4
1972,-17,0,8,4
1973,25,25,9,8
1974,-16,-5,1,-9
1975,1,12,-8,-9
1976,-8,-18,-14,-14
1977,15,27,23,9
1978,9,14,-5,8
1979,6,12,10,27
1980,40,32,24,23
1981,39,35,33,18
1982,22,7,9,14
1983,45,36,22,28
1984,22,24,12,13
1985,4,15,11,13
1986,28,27,13,9
1987,33,23,37,33
1988,49,46,40,30
1989,28,29,27,30
1990,39,58,37,39
1991,44,42,49,37
1992,40,34,16,5
1993,33,30,21,14
1994,18,32,32,41
1995,55,40,47,43
1996,35,33,37,29
1997,37,42,44,62
1998,70,65,72,47
1999,58,33,38,42
2000,44,53,43,35
2001,41,57,55,59
2002,68,71,57,60
2003,57,58,57,66
2004,67,57,38,64
2005,61,68,65,77
2006,65,53,63,69
2007,82,71,61,61
2008,37,60,51,66
2009,57,59,69,71
2010,72,85,63,71
2011,50,61,69,60
2012,49,67,61,76
2013,58,60,63,76
2014,64,81,69,81
2015,83,80,,
